	pseudo1	pseudo2	pseudo3	pseudo4	pseudo5	pseudo6	pseudo7	pseudo8
APOC1	15160	21778	18668	37226	1372	2538	20309	27079
APOD	10794	14202	423	3429	3647	966	3131	7046
APOE	37617	52944	41560	80846	2363	9338	44906	60737
APP	6906	837	1406	1555	6748	13319	8888	1426
AQP1	25	38	4910	1	58	42	24	45
AQP3	690	413	7614	262	1046	3954	5327	885
AQP5	6618	0	4168	378	0	0	8082	67
AREG	2092	2311	1589	13273	8199	558	5109	8773
ARHGAP18	830	581	491	1052	1044	276	1319	1150
ARHGAP29	497	220	223	59	3403	924	1028	617
ARHGDIB	6767	3388	11608	8346	3833	10049	14502	6805
ARHGEF1	512	415	789	573	930	444	753	355
ARHGEF6	55	95	174	217	29	27	149	176
ARID4B	1673	584	1213	976	1730	4808	3366	1150
ARID5B	674	628	677	1038	1748	1290	1926	1099
ARL4C	956	487	379	1390	2375	539	982	1041
ASAH1	3006	2852	4693	6030	1376	25952	5702	4386
ASPH	2373	916	2960	656	4903	13477	1242	946
ASPN	79	71	17	1	0	19	141	27
ATF3	2594	846	434	1496	2066	1295	13058	2758
ATP1B1	13665	1146	4189	1701	12228	30206	47733	3052
ATP6V0B	8711	3144	4646	5900	4707	8428	15977	6617
ATP6V1F	9020	3497	5897	7910	16306	12802	15541	9501
B2M	60649	83527	115705	126979	97338	71090	117927	126716
BACE2	2600	110	391	398	1280	2962	3811	450
BANK1	138	20	248	97	251	360	134	25
BCAM	1792	217	1975	94	1553	1186	1469	498
BCL2A1	1209	982	662	3540	341	115	1673	2661
BEX4	3966	412	781	922	487	189	956	773
BGN	259	918	78	121	255	276	2948	2738
BHLHE40	552	514	777	1200	3039	1402	2231	813
BIN2	193	420	418	983	68	57	276	378
BIRC3	508	628	1261	895	424	299	2305	1241
BRI3	7977	2698	2025	4946	9982	23086	24849	4906
BST2	5815	1670	8658	3664	1392	5462	8582	6238
BTG1	11588	4649	9114	14878	7171	6080	18727	8774
BTG2	2633	1044	1473	2988	462	1187	6102	1140
BTK	76	141	438	306	25	27	153	302
C10orf10	237	293	160	209	4968	384	1699	339
C11orf96	186	89	127	110	39	2012	2736	882
C12orf75	5440	354	396	507	231	6750	6619	670
C15orf48	1845	750	1138	3642	12277	584	1186	13294
C16orf89	9221	51	12452	129	257	1229	4502	251
C19orf33	1912	1005	1448	203	9447	390	2374	1323
C1QA	10722	18437	7647	23186	560	2426	32242	23260
C1QB	10803	22094	10781	30305	486	2415	36809	27273
C1QC	5543	12245	5681	19629	316	1158	17622	13442
C1R	559	1865	357	243	97	162	409	2352
C1S	314	1633	230	172	61	12	265	2205
C1orf162	898	1583	1676	2925	181	220	2652	4624
C1orf186	6	14	1211	195	3	47	11	6
C3	308	297	4248	1868	34	129	612	1317
C4BPA	105	0	3482	17	1	5001	4428	10
C5AR1	419	590	235	954	114	66	1085	1358
C7	190	567	66	24	1	1	133	1080
C8orf4	4552	47	481	474	11	21886	2208	2547
C9orf142	1337	597	1286	1132	2620	3120	2554	1082
CALB2	0	4	187	17	8	8	2	2
CALCRL	21	18	12	21	13	26	212	76
CALD1	1340	1111	483	189	2338	11058	4902	2421
CAPG	6144	2721	4405	8030	1731	3466	5428	6220
CAV1	182	952	527	163	3247	94	978	560
CAV2	325	528	367	102	6276	615	1059	293
CCDC50	769	307	246	594	453	1043	1113	735
CCDC80	90	517	76	66	605	25	206	1773
CCDC85B	2096	1187	1327	1751	4820	3484	3035	1806
CCL18	522	3046	2350	5473	2	68	2791	2632
CCL2	1265	6076	4848	3818	590	486	4453	13749
CCL20	2210	1628	1451	2550	184	7362	5141	8563
CCL21	0	0	0	0	31	0	9	0
CCL3	19033	8931	2556	30124	748	2168	13541	11378
CCL3L3	9062	929	913	27595	633	948	15269	6715
CCL4	14717	9146	2556	25970	864	1851	10834	7576
CCL4L2	10407	1667	1946	31162	694	1431	17972	7899
CCL5	1185	6343	5365	3865	527	246	700	1221
CCND1	4933	449	1939	381	10463	6169	2791	540
CCR7	23	15	132	205	25	11	46	71
CD14	1649	4845	1793	7160	534	534	4183	7351
CD163	906	4872	965	4132	41	218	1836	4095
CD1C	64	11	188	280	24	21	78	34
CD2	297	1047	1631	1839	125	126	260	446
CD207	1	0	183	8	0	12	19	13
CD24	9617	22	1620	533	19260	5269	8807	4560
CD247	76	257	327	813	76	73	69	121
CD27	176	463	1201	541	51	67	104	212
CD34	28	7	1	0	5	15	298	63
CD37	947	1301	2724	3656	320	180	1849	1907
CD3D	477	1159	2619	1919	251	148	236	619
CD3E	222	702	1285	1194	90	64	172	347
CD3G	170	319	463	605	60	66	65	140
CD44	1693	2059	4017	4579	7462	3334	1814	3711
CD48	379	864	1119	2196	307	151	508	1227
CD52	1566	2424	9254	4857	504	125	2136	2030
